1780347006 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpsw0bun88\\tasks.json'
1780347006 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpay25l27d\\tasks.json'
1780347006 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpexlayzyr\\tasks.json'
1780347006 | INFO | Data corruption detected
 Error: Expecting property name enclosed in double quotes: line 1 column 3 (char 2)
1780347006 | INFO | Backup created for tasks.json
1780347006 | INFO | Empty task file recreated
1780347591 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp70ie3j4x\\tasks.json'
1780347591 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpjzpv3rpb\\tasks.json'
1780347591 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpbd3rlef4\\tasks.json'
1780347591 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmptqqsi2ph\\tasks.json'
1780347591 | ERROR | Start time must be before End time
1780347591 | ERROR | Reminder must be >= 0 minutes
1780347591 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpaa6ye4j8\\tasks.json'
1780347591 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp9gf2s6i0\\tasks.json'
1780347591 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpkg5mjhyn\\tasks.json'
1780347591 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp1jgc1t6a\\tasks.json'
1780347591 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpnm_y1xd_\\tasks.json'
1780347592 | INFO | Data corruption detected
 Error: Expecting property name enclosed in double quotes: line 1 column 3 (char 2)
1780347592 | INFO | Backup created for tasks.json
1780347592 | INFO | Empty task file recreated
1780347601 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp2u02n3zh\\tasks.json'
1780347601 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpj3jt0owe\\tasks.json'
1780347601 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpifnmwech\\tasks.json'
1780347601 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp6ma_ygak\\tasks.json'
1780347601 | ERROR | Start time must be before End time
1780347601 | ERROR | Reminder must be >= 0 minutes
1780347601 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp68rb566c\\tasks.json'
1780347601 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpltya6_xz\\tasks.json'
1780347601 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpctorgi_r\\tasks.json'
1780347601 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp9w7bxt_x\\tasks.json'
1780347601 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmptmizwt4f\\tasks.json'
1780347601 | INFO | Data corruption detected
 Error: Expecting property name enclosed in double quotes: line 1 column 3 (char 2)
1780347601 | INFO | Backup created for tasks.json
1780347601 | INFO | Empty task file recreated
1780347645 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp_xr0wdzy\\tasks.json'
1780347645 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpf33d13as\\tasks.json'
1780347645 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp6eqea55n\\tasks.json'
1780347645 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpl49cdeeh\\tasks.json'
1780347645 | ERROR | Start time must be before End time
1780347645 | ERROR | Reminder must be >= 0 minutes
1780347645 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpuu7bvpks\\tasks.json'
1780347645 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpukyzflx3\\tasks.json'
1780347645 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpxpr1rjch\\tasks.json'
1780347645 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpuqbyis6h\\tasks.json'
1780347645 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpo8qen75l\\tasks.json'
1780347645 | INFO | Data corruption detected
 Error: Expecting property name enclosed in double quotes: line 1 column 3 (char 2)
1780347645 | INFO | Backup created for tasks.json
1780347645 | INFO | Empty task file recreated
1780347885 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp2wzbxjpq\\tasks.json'
1780347885 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp3wmbzl7_\\tasks.json'
1780347885 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp25qit_8k\\tasks.json'
1780347885 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpkh94uz9g\\tasks.json'
1780347885 | ERROR | Start time must be before End time
1780347885 | ERROR | Reminder must be >= 0 minutes
1780347885 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpj5l90pj2\\tasks.json'
1780347885 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpzrka8_uy\\tasks.json'
1780347885 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpcuf_qflr\\tasks.json'
1780347885 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpeibdry4o\\tasks.json'
1780347885 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpdj9aqbe4\\tasks.json'
1780347885 | INFO | Data corruption detected
 Error: Expecting property name enclosed in double quotes: line 1 column 3 (char 2)
1780347885 | INFO | Backup created for tasks.json
1780347885 | INFO | Empty task file recreated
1780611494 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp6zm9i_pa\\tasks.json'
1780611494 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp2j2_skk5\\tasks.json'
1780611494 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp8v4sx10m\\tasks.json'
1780611494 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpy6r_d9d2\\tasks.json'
1780611494 | ERROR | Start time must be before End time
1780611494 | ERROR | Reminder must be >= 0 minutes
1780611494 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp0aoae5vz\\tasks.json'
1780611494 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp6anqdz3g\\tasks.json'
1780611494 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpeba2jjv5\\tasks.json'
1780611494 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmp0uz1mto8\\tasks.json'
1780611494 | ERROR | Data Loading Faield [Errno 2] No such file or directory: 'C:\\Users\\USER\\AppData\\Local\\Temp\\tmpkv71z9_m\\tasks.json'
1780611494 | INFO | Data corruption detected
 Error: Expecting property name enclosed in double quotes: line 1 column 3 (char 2)
1780611494 | INFO | Backup created for tasks.json
1780611494 | INFO | Empty task file recreated
